Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
ALZ NAVIGLIO GRANDE N. 8 (z.d. 6);ALZ;NAVIGLIO GRANDE;8;5144;6;14;;4;HOTEL MAISON BORELLA;;;25;;Albergo
"codvia 0000 num.024  ; ()";;;;;;259;259;4;radisson blu hotel milan;;;518;518;Albergo
CSO BUENOS AIRES N. 18 (z.d. 3);CSO;BUENOS AIRES;18;2129;3;16;16;1;hotel aurora;1;1;25;25;Albergo
CSO BUENOS AIRES N. 26 (z.d. 3);CSO;BUENOS AIRES;26;2129;3;25;;3;hotel buenos aires;;;39;;Albergo
CSO BUENOS AIRES N. 2 (z.d. 3);CSO;BUENOS AIRES;2;2129;3;46;"15;11;8";3;albergo fenice;4;"1;2;3;4";98;"24;19;13";Albergo
CSO BUENOS AIRES N. 33 (z.d. 3);CSO;BUENOS AIRES;33;2129;3;65;0;4;GALAXY G SRL;;;97;0;Albergo
CSO BUENOS AIRES N. 3 (z.d. 3);CSO;BUENOS AIRES;3;2129;3;116;"4;23;24;24";4;cristoforo colombo;4;"2;3;4;5";191;"5;38;40;40";Albergo
CSO COLOMBO CRISTOFORO N. 15 (z.d. 6);CSO;COLOMBO CRISTOFORO;15;5114;6;39;;3;hotel minerva;;;60;;Albergo
CSO COLOMBO CRISTOFORO N. 15 (z.d. 6);CSO;COLOMBO CRISTOFORO;15;5114;6;44;0;3;hotel minerva;;;67;0;Albergo
CSO CONCORDIA N. 1 (z.d. 3);CSO;CONCORDIA;1;3116;3;77;;5;;;;180;;Albergo
CSO DI PORTA ROMANA N. 48 (z.d. 1);CSO;DI PORTA ROMANA;48;402;1;56;;4;hotel lloyd;;;100;;Albergo
CSO DI PORTA ROMANA N. 64 (z.d. 1);CSO;DI PORTA ROMANA;64;402;1;72;;4;hotel romana residence;6;;147;;Residence
CSO EUROPA N. 9 (z.d. 1);CSO;EUROPA;9;300;1;89;"12;12;12;12;12;11;5";4;hotel galileo;7;"1;2;3;4;5;6;7";159;"22;22;22;22;22;21;6";Albergo
CSO GARIBALDI GIUSEPPE N. 68 (z.d. 1);CSO;GARIBALDI GIUSEPPE;68;1010;1;89;;3;hotel ritter;7;;172;;Albergo
CSO GARIBALDI GIUSEPPE N. 84 (z.d. 1);CSO;GARIBALDI GIUSEPPE;84;1010;1;98;"14;14;14;14;14;14;14";4;carlyle brera hotel;7;"1;2;3;4;5;6;7";203;"29;29;29;29;29;29;29";Albergo
CSO ITALIA N. 34 (z.d. 1);CSO;ITALIA;34;526;1;41;;4;residence di corso italia;;;81;;Residence
"CSO ITALIA num.011/a ; (z.d. 1)";;;;;;39;"8;16;17";3;hotel zurigio;3;"T;1;2";70;"14;24;21";Albergo
CSO LODI N. 4 (z.d. 5);CSO;LODI;4;4068;5;21;21;;hotel five;;;43;43;Albergo
CSO LODI N. 74 (z.d. 4);CSO;LODI;74;4068;4;27;;1;hotel del sud;;;46;;Albergo
CSO MAGENTA N. 61 (z.d. 1);CSO;MAGENTA;61;604;1;105;;3;palazzo delle stelline;;;167;;Albergo
