Nome,Tipologia,Numero stelle,Tipo via,Nome via,Civico,Codice via,Municipio,Camere tot,Piani totali,Posti letto tot
ACCA PALACE,RESIDENCE,4,VIA,NICOTERA GIOVANNI,9,1508,9,41,5,82
ALBERGO ACCURSIO,ALBERGO,3,VLE,CERTOSA,88,7174,8,27,4,39
ALBERGO DEL SOLE,ALBERGO,1,VIA,SPONTINI GASPARE,6,2141,3,17,2,40
ALBERGO FELICE CASATI,ALBERGO,4,VIA,CASATI FELICE,18,2122,3,99,3,145
ALBERGO FENICE,ALBERGO,3,CSO,BUENOS AIRES,2,2129,3,46,4,98
ALBERGO IRIDE,ALBERGO,2,VIA,PORPORA NICOLA ANTONIO,170,2229,3,11,3,19
ALBERGO LA PACE,ALBERGO,1,VIA,CATALANI ALFREDO,69,2425,3,20,6,33
ALBERGO LARIO,ALBERGO,1,VIA,LARIO,40,1171,9,7,3,17
ALBERGO LOMBARDIA,ALBERGO,3,VLE,LOMBARDIA,74,2400,3,96,5,157
ALBERGO MARTE,ALBERGO,2,VIA,SFORZA ASCANIO,81,5201,5,15,3,25
ALBERGO PALLADIO,ALBERGO,1,VIA,PALLADIO ANDREA,8,4213,5,48,7,82
ALBERGO PAVONE,ALBERGO,3,VIA,DANDOLO ENRICO,2,3028,1,24,4,50
ALBERGO POERIO,ALBERGO,1,VIA,POERIO CARLO,32,3181,3,13,4,20
ALBERGO SEMPIONE,ALBERGO,3,VIA,FINOCCHIARO APRILE,11,2120,2,49,3,101
ALBERGO SICILIA,ALBERGO,1,VIA,BENEFATTORI DELL'OSPEDALE,24,1522,9,10,2,19
ALBERGO SUSA,ALBERGO,3,VLE,ARGONNE,14,3254,4,19,4,37
AMALFI,ALBERGO,1,VIA,QUARNERO,4,6263,7,11,3,24
AMBROSIANA,ALBERGO,1,VIA,PLINIO CAIO SECONDO,22,2144,3,16,3,22
ANDREOLA,ALBERGO,4,VIA,SCARLATTI DOMENICO,24,2136,2,78,5,155
ANTICA LOCANDA LEONARDO,ALBERGO,3,CSO,MAGENTA,78,604,1,16,1,35
ANTICA LOCANDA SOLFERINO,ALBERGO,2,VIA,CASTELFIDARDO,2,1043,1,11,3,21
APOLLO,ALBERGO,2,VIA,RIPAMONTI GIUSEPPE,102,4066,5,18,3,40
ARMANI HOTEL MILANO,ALBERGO,6,VIA,MANZONI ALESSANDRO,31,230,1,95,7,190
ARNO,ALBERGO,1,VIA,LAZZARETTO,17,2112,2,10,1,16
ART HOTEL NAVIGLI,ALBERGO,4,VIA,FUMAGALLI ANGELO CARLO,4,5149,6,103,5,205
ASCOT,ALBERGO,4,VIA,LENTASIO,3,410,1,64,5,99
ASTORIA,ALBERGO,4,VLE,MURILLO S.B.,9,6551,7,72,5,120
ASTRID,ALBERGO,2,VIA,LULLI GIOVANNI,22,2253,3,11,2,23
ATAHOTEL EXECUTIVE,ALBERGO,4,VLE,STURZO DON LUIGI,45,1704,9,420,6,792
