,Ubicazione,Tipo via,Nome via,Civico,Codice via,Municipio,Camere,Camere piano,Stelle,Insegna,Piani totali,Piano piano,Posti letto,Posti letto per piano,Tipo struttura
0,ALZ NAVIGLIO GRANDE N. 8 (z.d. 6),ALZ,NAVIGLIO GRANDE,8,5144.0,6,14.0,,4,HOTEL MAISON BORELLA,,,25.0,,Albergo
1,codvia 0000 num.024  ; (),codvia,0000,24,,,259.0,259,4,radisson blu hotel milan,,,518.0,518,Albergo
2,CSO BUENOS AIRES N. 18 (z.d. 3),CSO,BUENOS AIRES,18,2129.0,3,16.0,16,1,hotel aurora,1.0,1,25.0,25,Albergo
3,CSO BUENOS AIRES N. 26 (z.d. 3),CSO,BUENOS AIRES,26,2129.0,3,25.0,,3,hotel buenos aires,,,39.0,,Albergo
4,CSO BUENOS AIRES N. 2 (z.d. 3),CSO,BUENOS AIRES,2,2129.0,3,46.0,15;11;8,3,albergo fenice,4.0,1;2;3;4,98.0,24;19;13,Albergo
5,CSO BUENOS AIRES N. 33 (z.d. 3),CSO,BUENOS AIRES,33,2129.0,3,65.0,0,4,GALAXY G SRL,,,97.0,0,Albergo
6,CSO BUENOS AIRES N. 3 (z.d. 3),CSO,BUENOS AIRES,3,2129.0,3,116.0,4;23;24;24,4,cristoforo colombo,4.0,2;3;4;5,191.0,5;38;40;40,Albergo
7,CSO COLOMBO CRISTOFORO N. 15 (z.d. 6),CSO,COLOMBO CRISTOFORO,15,5114.0,6,39.0,,3,hotel minerva,,,60.0,,Albergo
8,CSO COLOMBO CRISTOFORO N. 15 (z.d. 6),CSO,COLOMBO CRISTOFORO,15,5114.0,6,44.0,0,3,hotel minerva,,,67.0,0,Albergo
9,CSO CONCORDIA N. 1 (z.d. 3),CSO,CONCORDIA,1,3116.0,3,77.0,,5,,,,180.0,,Albergo
10,CSO DI PORTA ROMANA N. 48 (z.d. 1),CSO,DI PORTA ROMANA,48,402.0,1,56.0,,4,hotel lloyd,,,100.0,,Albergo
11,CSO DI PORTA ROMANA N. 64 (z.d. 1),CSO,DI PORTA ROMANA,64,402.0,1,72.0,,4,hotel romana residence,6.0,,147.0,,Albergo
12,CSO EUROPA N. 9 (z.d. 1),CSO,EUROPA,9,300.0,1,89.0,12;12;12;12;12;11;5,4,hotel galileo,7.0,1;2;3;4;5;6;7,159.0,22;22;22;22;22;21;6,Albergo
13,CSO GARIBALDI GIUSEPPE N. 68 (z.d. 1),CSO,GARIBALDI GIUSEPPE,68,1010.0,1,89.0,,3,hotel ritter,7.0,,172.0,,Albergo
14,CSO GARIBALDI GIUSEPPE N. 84 (z.d. 1),CSO,GARIBALDI GIUSEPPE,84,1010.0,1,98.0,14;14;14;14;14;14;14,4,carlyle brera hotel,7.0,1;2;3;4;5;6;7,203.0,29;29;29;29;29;29;29,Albergo
15,CSO ITALIA N. 34 (z.d. 1),CSO,ITALIA,34,526.0,1,41.0,,4,residence di corso italia,,,81.0,,Residence
16,CSO ITALIA num.011/a ; (z.d. 1),CSO,ITALIA,11/a,,1,39.0,8;16;17,3,hotel zurigio,3.0,T;1;2,70.0,14;24;21,Albergo
