,Insegna,Via,Civico,Codice via,Municipio,Camere tot,Camere per piano,Stelle,Piani tot,Elenco piani,Posti letto tot,Posti letto per piano,Tipo struttura
218,ARMANI HOTEL MILANO,VIA MANZONI ALESSANDRO,31,230,1,95,,5 STELLE LUSSO,,,190,,ALBERGO
144,BIO CITY HOTEL,VIA EDOLO,18,1217,2,17,,1,,,32,,ALBERGO
5,GALAXY G SRL,CSO BUENOS AIRES,33,2129,3,65,0,4,,,97,0,ALBERGO
257,HOTEL ADAM,VIA PALMANOVA,153,2390,2,59,,,,,99,,ALBERGO
301,HOTEL ADLER,VIA RICORDI GIOVANNI,10,2251,3,23,,,,,47,,ALBERGO
373,HOTEL BERNA,VIA TORRIANI NAPO,18,2126,2,122,10;21,4,6,R;1;2;3;4;5,197,13;31;33;32,ALBERGO
90,HOTEL BOVISA,VIA BROGLIO EMILIO,28,1246,9,7,,2,,,9,,ALBERGO
89,HOTEL BRIVIO,VIA BRIVIO CESARE,33,1502,9,12,0,2,,,21,0,ALBERGO
70,HOTEL CASTELLETTO,VIA ARCHIMEDE,79,3086,4,14,14,2,,,22,22,ALBERGO
253,HOTEL DORE',VIA PAGANINI NICCOLO',7,2238,3,18,,3,,,39,,ALBERGO
421,HOTEL FAENZA,VLE FAENZA,12/13,5350,6,8,,1,,,20,,ALBERGO
352,HOTEL FIERA CONGRESSI,VIA SPINOLA AMBROGIO,9,6369,8,29,0,3,,,53,0,ALBERGO
227,HOTEL LA MADONNINA,VIA MAZZINI GIUSEPPE,10,516,1,14,,3,,,25,,ALBERGO
167,HOTEL LIDO,VIA GALLI RICCARDO,8,6405,8,27,7;;6;,3,4,R;1;M;2,36,10;;6;,ALBERGO
0,HOTEL MAISON BORELLA,ALZ NAVIGLIO GRANDE,8,5144,6,14,,4,,,25,,ALBERGO
36,HOTEL ORO BLU,PLE LOTTO LORENZO,14,6539,8,27,,3,,,48,,ALBERGO
47,HOTEL PRINCIPE DI SAVOIA,PZA DELLA REPUBBLICA,17,1055,2,302,412,5,,,725,812,ALBERGO
427,HOTEL SAN FRANCISCO,VLE LOMBARDIA,55,2400,3,28,0,3,,,55,0,ALBERGO
378,IDEA HOTEL MILANO CENTRALE,VIA TORRIANI NAPO,28,2126,2,71,,3,,,98,,ALBERGO
206,IDEA HOTEL MILANO LORENTEGGIO,VIA LORENTEGGIO,278,,,128,,4,,,242,,ALBERGO
66,KLICK HOTEL,VIA ANTONIO DA RECANATE,2,2215,2,10,,1,,,16,,ALBERGO
157,MAGNA PARS SUITES MILANO,VIA FORCELLA VINCENZO,6,5127,6,28,,,,,60,,ALBERGO
249,MERCURE HOTEL,VIA ORSEOLO PIETRO,1,5113,6,59,,4,,,101,,ALBERGO
426,OASI VILLAGE HOTEL,VLE LOMBARDIA,20,2400,3,14,,3,,,25,,ALBERGO
232,STYLE HOTEL,VIA MERCATO,1,717,1,14,5;7,1,2,1;2,25,8;12,ALBERGO
324,UPTOWN PALACE,VIA SANTA SOFIA,10,408,1,158,,4,,,318,,ALBERGO
244,ACCA PALACE,VIA NICOTERA GIOVANNI,9,1508,9,41,41,4,,,82,82,RESIDENCE
