,Insegna,Via,Civico,Codice via,Municipio,Camere tot,Stelle,Piani tot,Posti letto tot,Tipo struttura
0,ARMANI HOTEL MILANO,VIA MANZONI ALESSANDRO,31,230.0,1.0,95.0,5 STELLE LUSSO,,190.0,ALBERGO
1,BIO CITY HOTEL,VIA EDOLO,18,1217.0,2.0,17.0,1,,32.0,ALBERGO
2,GALAXY G SRL,CSO BUENOS AIRES,33,2129.0,3.0,65.0,4,,97.0,ALBERGO
3,HOTEL ADAM,VIA PALMANOVA,153,2390.0,2.0,59.0,,,99.0,ALBERGO
4,HOTEL ADLER,VIA RICORDI GIOVANNI,10,2251.0,3.0,23.0,,,47.0,ALBERGO
5,HOTEL BERNA,VIA TORRIANI NAPO,18,2126.0,2.0,122.0,4,6,197.0,ALBERGO
6,HOTEL BOVISA,VIA BROGLIO EMILIO,28,1246.0,9.0,7.0,2,,9.0,ALBERGO
7,HOTEL BRIVIO,VIA BRIVIO CESARE,33,1502.0,9.0,12.0,2,,21.0,ALBERGO
8,HOTEL CASTELLETTO,VIA ARCHIMEDE,79,3086.0,4.0,14.0,2,1,22.0,ALBERGO
9,HOTEL DORE',VIA PAGANINI NICCOLO',7,2238.0,3.0,18.0,3,,39.0,ALBERGO
10,HOTEL FAENZA,VLE FAENZA,12/13,5350.0,6.0,8.0,1,,20.0,ALBERGO
11,HOTEL FIERA CONGRESSI,VIA SPINOLA AMBROGIO,9,6369.0,8.0,29.0,3,,53.0,ALBERGO
12,HOTEL LA MADONNINA,VIA MAZZINI GIUSEPPE,10,516.0,1.0,14.0,3,,25.0,ALBERGO
13,HOTEL LIDO,VIA GALLI RICCARDO,8,6405.0,8.0,27.0,3,4,36.0,ALBERGO
14,HOTEL MAISON BORELLA,ALZ NAVIGLIO GRANDE,8,5144.0,6.0,14.0,4,,25.0,ALBERGO
15,HOTEL ORO BLU,PLE LOTTO LORENZO,14,6539.0,8.0,27.0,3,,48.0,ALBERGO
16,HOTEL PRINCIPE DI SAVOIA,PZA DELLA REPUBBLICA,17,1055.0,2.0,302.0,5,1,725.0,ALBERGO
17,HOTEL SAN FRANCISCO,VLE LOMBARDIA,55,2400.0,3.0,28.0,3,,55.0,ALBERGO
